pid,paddress,email,pname
P000000001,"30479 Brenda Wall Suite 983Matthewtown, MD 89850",jennifermurphy@gaines.com,Disney Worldwide
P000000002,"0668 Crawford Course Suite 605Carolinemouth, DE 14611",rmorgan@davis-bruce.org,Bloomsbery Publishing
P000000003,"7986 Moss Track Apt. 154Skinnerport, ID 33405",awilliams@gmail.com,Pierre-Jules Hetzel
P000000004,"1778 Cole OrchardLake Amandabury, ID 24526",peckmartin@gmail.com,William Heineman
P000000005,"2630 Katie CourtsSouth Evelynview, UT 22434",victoriajennings@bradley-garcia.com,Chatto & Windus
P000000006,"506 Evans LakesNew Lisafurt, OH 09182",christopheratkinson@lee-cherry.com,Blue Book Magazine
P000000007,"010 Lisa ShoreTylerton, ID 51017",julia51@hotmail.com,Harvill Secker
P000000008,"9132 Carla Mall Apt. 923South Elizabeth, PA 48609",jeremy33@yahoo.com,Penguin Random House LLC.
P000000010,"136 Guerra LakesStephensonhaven, ND 48619",ypowers@moore.com,Double Day & Company
P000000011,"4892 Roberts Glens Suite 148Nelsonfort, NH 33991",vcarter@yahoo.com,Kavi Mahesh
P000000012,"324 King Route Suite 711Lake Lorettamouth, VT 93954",dianegordon@yahoo.com,Techical Publications
P000000013,"127 John CovesMelissabury, NY 33420",dawngordon@gmail.com,Sudhas Student Friendly Textbooks
P000000014,"348 Derek ShoresMackborough, GA 11534",deannathomas@hotmail.com,Arihants
P000000015,"2022 Jonathan MountainCaldwellport, MA 84446",zpeterson@taylor-white.com,Core Engineering Series
P000000016,"78808 Contreras Crest Suite 661Jacobmouth, ND 21239",alexanderjeffrey@hotmail.com,S. Chand
P000000017,"183 Summers StreetsKyleland, MO 45247",thompsonjames@dougherty.com,BI Bhatt
P000000018,"7369 Megan BranchDuncanstad, DC 67900",amy06@gmail.com,Oxford
P000000019,"58515 Cervantes Corners Apt. 684Elizabethmouth, VA 27201",kristinereynolds@lee.com,VTU
P000000020,"85086 Justin Tunnel Apt. 768Port Emmashire, AZ 37062",rpeters@richards.com,S. Chand
P000000021,"284 S. Clinton Road  Osseo, MN 55311",xndz911qkxg@iffymedia.com,Penguin Classics
P000000022,"284 J. Kennedy Road  Osseo, MN 55311",premium@premium.com,Premium Edition
P000000023,"284 J. Roosevelt Road  Osseo, NA 55322",lakshmi@lakshmi.com,Lakshmi Publications
P000000024,"284 J. Clinton Road  Osseo, NV 55311",elmasri@elmasri.com,Elmasri
fname,minit,lname,au_id,pid_auth,type,genre
Rick,,Riordan,A000000001,P000000001,Fiction,Fantasy
J.,K,Rowling,A000000002,P000000002,Fiction,Fantasy
Jules,,Verne,A000000003,P000000003,Fiction,"Fantasy,Science Fiction"
H.,G,Wells,A000000004,P000000004,Fiction,Science Fiction
Aldous,,Huxley,A000000005,P000000005,Fiction,Science Fiction
Philip,,Wylie,A000000006,P000000006,Fiction,Science Fiction
George,,Orwell,A000000007,P000000007,Fiction,Science Fiction
George,R,Stewart,A000000008,P000000008,Fiction,Science Fiction
Ray,,Bradbury,A000000010,P000000010,Fiction,Science Fiction
Kavi,,Mahesh,A000000011,P000000011,Educational,
J,S,Chitode,A000000012,P000000012,Educational,
Dr.,,KSC,A000000013,P000000013,Educational,
Gaurav,,Shukla,A000000014,P000000014,Educational,
B,V,Ramana,A000000015,P000000015,Educational,
R,S,Khurmi,A000000016,P000000016,Educational,
J,M,Smith,A000000017,P000000017,Educational,
J,S,Slater,A000000018,P000000018,Educational,
S,P,Basavarju,A000000019,P000000019,Educational,
S,S,Dhara,A000000020,P000000020,Educational,
Mary,,Shelley,A000000021,P000000021,Fiction,Science Fiction
Jeremy ,,Pickles,A000000022,P000000022,Educational,""
Jeraldin,,Ahila,A000000023,P000000023,Educational,""
Elmasri,,Navathe,A000000024,P000000024,Educational,""
Lasa,,Ramez,A000000025,P000000021,Educational,""
book_name,book_id,type,semester,pdate,rating,age_rest,au_id_book,branch_id_book,did_book,pid_book,genre,is_borrowed
Harry Potter And The Chamber Of Secrets,B000000005,Fiction,,1998-07-02,9.1,9,A000000002,BR00000001,,P000000002,Fantasy,t
Harry Potter And The Philosophers Stone,B000000006,Fiction,,1997-06-26,9.2,11,A000000002,BR00000001,,P000000002,Fantasy,t
Harry Potter And The Goblet Of Fire,B000000008,Fiction,,2000-07-08,9.4,5,A000000002,BR00000002,,P000000002,Fantasy,t
Harry Potter And The Order Of The Phoenix,B000000009,Fiction,,2003-06-21,9.5,5,A000000002,BR00000002,,P000000002,Fantasy,t
Harry Potter And The Order Of The Phoenix,B000000010,Fiction,,2003-06-21,9.5,5,A000000002,BR00000001,,P000000002,Fantasy,t
Harry Potter And The Half Blood Prince,B000000011,Fiction,,2005-07-16,9.4,3,A000000002,BR00000001,,P000000002,Fantasy,t
Harry Potter And The Half Blood Prince,B000000012,Fiction,,2005-07-16,9.4,3,A000000002,BR00000002,,P000000002,Fantasy,t
A Journey To The Centre Of The Earth,B000000015,Fiction,,1864-07-21,9.3,2,A000000003,BR00000001,,P000000003,"Science Fiction,Fantasy",t
The War Of The Worlds,B000000016,Fiction,,1898-06-21,9.2,3,A000000004,BR00000001,,P000000004,Science Fiction,t
The War Of The Worlds,B000000017,Fiction,,1898-06-21,9.2,3,A000000004,BR00000002,,P000000004,Science Fiction,t
Brave New World,B000000018,Fiction,,1932-04-12,9.3,4,A000000005,BR00000001,,P000000005,Science Fiction,t
Brave New World,B000000019,Fiction,,1932-04-12,9.3,3,A000000005,BR00000002,,P000000005,Science Fiction,t
Percy Jackson and The Olympians,B000000025,Fiction,,2010-02-03,8.1,1,A000000001,BR00000003,,P000000001,Fantasy,t
Harry Potter And The Order Of The Phoenix,B000000026,Fiction,,2003-06-21,9.5,5,A000000002,BR00000003,,P000000002,Fantasy,t
Harry Potter And The Half Blood Prince,B000000027,Fiction,,2005-07-16,9.4,3,A000000002,BR00000003,,P000000002,Fantasy,t
Signals and Stochastic Process for JNTU-H,B000000038,Educational,3,1977-01-21,8.5,3,A000000012,BR00000002,ECE0000002,P000000012,,t
Signals and Stochastic Process for JNTU-H,B000000039,Educational,3,1977-01-21,8.5,3,A000000012,BR00000003,ECE0000003,P000000012,,t
A Textbook of Engineering Mathematics-III ,B000000040,Educational,3,1987-01-21,8.7,3,A000000013,BR00000001,,P000000013,,t
A Textbook of Engineering Mathematics-III ,B000000041,Educational,3,1987-01-21,8.7,3,A000000013,BR00000002,,P000000013,,t
A Textbook of Engineering Mathematics-III ,B000000042,Educational,3,1987-01-21,8.7,3,A000000013,BR00000003,,P000000013,,t
Handbook Series of Machanical Engineering,B000000043,Educational,4,1994-03-21,8.5,2,A000000014,BR00000001,EME0000001,P000000014,,t
Handbook Series of Machanical Engineering,B000000044,Educational,4,1994-03-21,8.5,2,A000000014,BR00000002,EME0000002,P000000014,,t
Theory Of Computation : A Problem Solving Approach,B000000034,Educational,4,1999-01-21,8.9,3,A000000011,BR00000001,CSE0000001,P000000011,,t
Theory Of Computation : A Problem Solving Approach,B000000035,Educational,4,1999-01-21,8.9,3,A000000011,BR00000002,CSE0000002,P000000011,,t
Odd John,B000000021,Fiction,,1935-01-12,9.1,2,A000000007,BR00000001,,P000000007,Science Fiction,t
The Illustrated Man,B000000032,Fiction,,1951-01-21,8.5,2,A000000010,BR00000002,,P000000010,Science Fiction,t
Nineteen Eighty-Four,B000000022,Fiction,,1949-01-03,8.6,2,A000000007,BR00000001,,P000000007,Science Fiction,t
Signals and Stochastic Process for JNTU-H,B000000037,Educational,3,1977-01-21,8.5,3,A000000012,BR00000001,ECE0000001,P000000012,,t
Earth Abides,B000000030,Fiction,,1949-07-21,8.9,3,A000000008,BR00000003,,P000000008,Science Fiction,t
Applied Maths,B000000071,Educational,3,2015-08-04,3.0,2,A000000022,BR00000002,EME0000002,P000000022,,f
Advanced Math,B000000074,Educational,,2010-07-04,7.0,3,A000000025,BR00000001,,P000000021,,f
